
                                Name                                           Version             Type   
  com.ibm.ws.classloading.configuration                             1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.collector.manager                                      1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.config                                                 1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.config.schemagen                                       1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.config.server.schemagen                                1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.config.server.schemagen.serverschemagen                1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.container.service                                      1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.context                                                1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.crypto.certificate.creator.selfsigned                  1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.crypto.certificateutil                                 1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.crypto.ltpakeyutil                                     1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.crypto.passwordutil                                    1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.diagnostics                                            1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.dynacache.monitor                                      1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.dynamic.bundle                                         1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.eba.wab.integrator                                     1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.event                                                  1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.http.plugin.merge                                      1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.injection.jakarta                                      1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.install                                                1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.install.featureUtility                                 1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.install.featureUtility.featureutil                     1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.install.map                                            1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.javaee.dd                                              1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.javaee.dd.common                                       1.1.88.cl240420240408-2000     maven  
  com.ibm.ws.javaee.dd.ejb                                          1.1.88.cl240420240408-2000     maven  
  com.ibm.ws.javaee.ddmodel                                         1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.javaee.metadata.context                                1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.javaee.platform.defaultresource                        1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.javaee.platform.v7                                     1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.javaee.platform.v7.jndi                                1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.javaee.platform.v8                                     1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.javaee.version                                         1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.jaxrs.2.x.config                                       1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.jaxrs.2.x.monitor.jakarta                              1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.jaxrs.defaultexceptionmapper.jakarta                   1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.jmx                                                    1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.jndi                                                   1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.jndi.url.contexts                                      1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.jsonb.service                                          1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.kernel.boot                                            1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.kernel.boot.archive                                    1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.kernel.cmdline                                         1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.kernel.equinox.module                                  1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.kernel.feature                                         1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.kernel.filemonitor                                     1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.kernel.instrument.check                                1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.kernel.metatype.helper                                 1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.kernel.service                                         1.3.88.cl240420240408-2000     maven  
  com.ibm.ws.logging                                                1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.logging.hpel                                           1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.logging.hpel.binarylogviewer                           1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.logging.hpel.osgi                                      1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.logging.osgi                                           1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.managedobject                                          1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.management.security                                    1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.microprofile.metrics.common                            1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.microprofile.openapi.ui                                1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.monitor                                                1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.org.apache.aries.jmx.api                               1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.org.apache.aries.jmx.core.whiteboard                   1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.org.apache.aries.jndi.api                              1.1.88.cl240420240408-2000     maven  
  com.ibm.ws.org.apache.aries.jndi.core                             1.1.88.cl240420240408-2000     maven  
  com.ibm.ws.org.apache.aries.util                                  1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.org.apache.commons.fileupload.jakarta                  1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.org.apache.commons.io                                  1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.org.apache.commons.lang3                               1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.org.apache.felix.scr                                   1.0.88.cl240420240408-2000     maven  
  com.ibm.ws.org.apache.httpcomponents                              1.0.88.cl240420240408-2000     maven  
